"","longitude","latitude"
"1",35.86499,-8.515
"2",36.00167,-8.17033
"3",35.46105,-8.5196
"4",35.77889,-7.81916
"5",36.91461,-7.76858
"6",36.42499,-7.76667
"7",36.39166,-7.82499
"8",36.7965,-1.2761
"9",28.4842,-29.3281
"10",27.6137,-29.88
"11",28.7724,-29.4927
"12",29.3778,-29.4259
"13",29.2834,-29.5759
"14",19.134,-33.0925
"15",22.2033,-33.5937
"16",26.7168,-33.6535
"17",28.2302,-28.5943
"18",17.9905,-30.5599
"19",25.5921,-33.9325
"20",17.9308,-30.2046
"21",17.7496,-30.2046
"22",17.8861,-29.6633
"23",29.4755,-23.6311
"24",18.8229,-34.0999
"25",19.0059,-33.6377
"26",19.2137,-34.2285
"27",18.635,-33.983
"28",18.5139,-34.0665
"29",18.0682,-30.04699
"30",29.1308,-28.2761
"31",32.8522,-26.9415
"32",26.3988,-31.2857
"33",20.0336,-33.3375
"34",32.6933,-27.4277
"35",26.0831,-28.7832
"36",25.0045,-29.4057
"37",26.4633,-29.1434
"38",30.0009,-29.2255
"39",27.2827,-29.3167
"40",17.0554,-29.6758
"41",24.7205,-28.3299
"42",18.86667,-33.93333
"43",18.8675,-33.8032
"44",25.34258,-24.97779
"45",22.5041,-24.6459
"46",31.6989,-25.9954
"47",31.8842,-27.3055
"48",18.03417,-29.62917
"49",19.02472,-32.33747
"50",22.24083,-33.41978
"51",19.07964,-33.05392
"52",20.45919,-34.00992
"53",18.43331,-33.94825
"54",20.70461,-33.96522
"55",28.825,-28.8
"56",28.755194,-2.312806
"57",28.4495,-1.887306
"58",28.2408,-29.6022
"59",-1.1003,7.9374
"60",29.66033,-29.38133
"61",29.619611,-28.752194
"62",31.6216,-27.37306
"63",32.64958,-27.52876
"64",30.02381,-23.81647
"65",29.57434,-27.68044
"66",24.773549,-27.938957
"67",31.07805,-25.10707
"68",-5.386177376,35.535881
"69",-6.046155582,35.04387071
"70",-6.02924801,35.038039
"71",10.27583,0.44959
"72",10.40275,0.62325
"73",11.9835,2.934
"74",34.77305556,0.277777778
"75",34.84166667,0.233333333
"76",36.65,-0.716666667
"77",38.33333333,-3.383333333
"78",36.63333333,-0.483333333
"79",39.73333333,6.666666667
"80",29.61572222,-0.99275
"81",29.695,-0.978333333
"82",29.7,-0.9
"83",30.35,0.566666667
"84",29.62828,-3.94328
"85",29.61845983,-3.93189
"86",29.72483,-3.29342
"87",29.4828,-3.06884
"88",29.47471,-4.0138
"89",30.14681,-4.0108
"90",29.27310983,-3.343039833
"91",12.20451667,4.604166667
"92",10.04236667,6.965033333
"93",10.03513333,6.33595
"94",10.16126667,5.909016667
"95",11.49563333,3.85955
"96",10.75998333,6.548616667
"97",10.0397,5.967716667
"98",10.15853,5.85573
"99",10.61586667,5.108883333
"100",10.45953333,6.202
"101",10.70485,5.5519
"102",29.09521,-4.10701
"103",28.93287,-4.37381
"104",9.778269444,4.833905556
"105",9.6751,4.96335
"106",9.066349833,4.32228
"107",9.86721,4.954929833
"108",14.0234,2.6106
"109",13.9041,2.90057
"110",13.0492,2.90096
"111",10.48567,5.21687
"112",10.12686,5.66016
"113",16.47182,-2.58555
"114",15.655,2.138333
"115",6.606,0.276
"116",6.732,0.3
"117",5.259689,6.267423
"118",36.799,-1.3316
"119",36.7238,-0.4114
"120",36.8424,-0.3684
"121",34.7695,1.0339
"122",35.1247,1.1063
"123",39.4191,-4.1805
"124",38.3816,-3.505
"125",36.3715,0.0431
"126",36.6789,-1.1373
"127",11.585,7.329972
"128",37.2511,-3.1808
"129",37.5175,-3.2018
"130",37.2657,-3.094
"131",13.60987,-2.30807
"132",10.21873,-0.64073
"133",10.78135,-0.17502
"134",13.58235,-2.23806
"135",11.1664,-0.0554
"136",13.63431,-2.157664
"137",12.81241,-0.80493
"138",12.67244,-0.86831
"139",13.63506,-2.12448
"140",8.67,3.332
"141",8.582,3.483
"142",8.803,3.628
"143",8.667,3.711
"144",8.622,3.355
"145",8.665,3.367
"146",12.298,-0.226
"147",12.291,-0.039
"148",12.796,0.506
"149",12.566,0.294
"150",12.185,-0.189
"151",9.356,-1.814
"152",9.579,-1.891
"153",7.416,1.652
